SKU,HGT1,WID1,DPTH1,product_volume,movement_frequency,movement_category,storage_priority_score,storage_priority,main_storage_location,location_pick_count,recommended_zone,relocation_recommended,recommendation_reason
3575026123,8,7,7,392,132,Low Movement,0.303754716981132,Low Priority,181522,132,ZONE_C,False,Lower movement priority; can use lower-access storage.
3576526123,24,6,12,1728,28,Low Movement,0.3194905660377358,Low Priority,1833A5,28,ZONE_C,False,Lower movement priority; can use lower-access storage.
3576526157,15,16,36,8640,42,Low Movement,0.4065471698113208,Medium Priority,1833A4,42,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
3576526297,125,120,125,1875000,166,Medium Movement,0.5485094339622641,Medium Priority,1833A2,162,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
3576526313,125,120,125,1875000,94,Low Movement,0.4814150943396226,Medium Priority,1833A6,94,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
3576526362,120,100,120,1440000,11,Low Movement,0.3409811320754716,Low Priority,1833A3,11,ZONE_C,False,Lower movement priority; can use lower-access storage.
3576721137,21,8,8,1344,616,Medium Movement,0.6759433962264151,Medium Priority,181722,616,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
3576721145,30,7,8,1680,463,Medium Movement,0.6410188679245283,Medium Priority,181322,463,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
3576721153,21,8,8,1344,625,High Movement,0.6787169811320755,Medium Priority,183522,625,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
3576721160,22,8,7,1232,746,High Movement,0.700622641509434,Medium Priority,183122,746,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
3576721178,30,6,8,1440,553,Medium Movement,0.6621132075471698,Medium Priority,181923,552,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
3682129241,2,18,9,324,882,High Movement,0.6004528301886792,Medium Priority,N44823,881,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
