SKU,pick_count,total_quantity_picked,movement_frequency
M4-515542,33,616,33
M4-515597,177,5637,177
M4-51606,2,30,2
M4-51704,524,18220,524
M4-51770,351,2933,351
M4-51777,1033,48529,1033
M4-51781,94,415,94
M4-51785,378,4200,378
M4-51786,264,3056,264
M4-51860,7,246,7
M4-519748,4,33,4
M4-5206,731,5433,731
M4-52121,6,44,6
M4-52122,333,4578,333
M4-52123,325,4403,325
M4-52124,328,4324,328
M4-522403,2,120,2
M4-522489,2,60,2
M4-52300,382,3803,382
M4-52419,182,4078,182
M4-52448,144,1605,144
M4-52449,42,1827,42
M4-531023,783,24170,783
M4-5312506,942,16243,942
M4-5312565,1449,23133,1449
M4-5312568,1016,30226,1016
M4-5312575,1015,16359,1015
M4-5312582,1954,35509,1954
M4-5312599,717,12531,717
M4-5312612,2110,66463,2110
M4-5312629,773,25848,773
M4-5312636,1016,35093,1016
M4-5312643,2819,78403,2819
M4-5312650,27,428,27
M4-5312664,1018,24149,1018
M4-5312674,2832,122887,2832
M4-5312698,15,399,15
M4-72447,2076,38326,2076
M4-75116,217,5737,217
M474121157,4,180,4
MF-2111,34,900,34
MO-01530,309,5578,309
MO-20553,46,531,46
MO-28820,441,10196,441
MO-29192,4,96,4
MO-34879,12,106,12
MO-44533,273,3457,273
MO-47530,33,514,33
MO-56987,143,2345,143
MO-61134,58,560,58
MO-66361,15,51,15
MO-70137,66,830,66
MO-83740,42,815,42
MO-88199,22,142,22
MO-93407,93,648,93
MO-93584,23,417,23
MO-93685,349,3485,349
MU-11217,7120,743076,7120
MU-11218,5539,373867,5539
MU-15672,8,1600,8
MU-15689,101,5050,101
MU-17539,1309,15395,1309
MU-17546,1023,11512,1023
MU-45326,445,9051,445
MU-49207,1005,46625,1005
MU-49208,782,31929,782
MU-49263,2086,114886,2086
MU-49320,2438,110638,2438
MU-49325,1077,27606,1077
MU-49331,3436,224234,3436
MU-49332,2364,108680,2364
MU-57172,472,1783,472
MU-92564,5035,302499,5035
N2-17753,269,2766,269
N292921107,306,5091,306
N292921124,612,6615,612
N292921140,481,18660,481
N3-16832,3,12,3
N3-18305,1984,90688,1984
N3-18329,370,4944,370
N3-18350,220,1607,220
N3-18367,262,1988,262
N3-18374,255,1851,255
N3-18381,430,11205,430
N3-18398,1949,69429,1949
N3-18411,2604,129686,2604
N3-18435,668,8091,668
N3-18442,917,12879,917
N3-18459,1047,14106,1047
N3-18466,252,1769,252
N3-18480,359,2482,359
N3-32287,28,222,28
N3-32548,1841,67167,1841
N3-32549,2180,91397,2180
N3-32612,1,4,1
N3-52374,14,52,14
N3-52375,3,8,3
N3-5403,229,1964,229
N3-5496,183,1553,183
N3-5519,121,911,121
N3-5526,82,618,82
N3-5533,40,348,40
N3-5540,18,303,18
N3-8246-3,3,38,3
N3-8253-4,2,34,2
N3-91554,19,792,19
N3-918336,554,7580,554
N3-918343,650,8892,650
N3-918473,583,4251,583
N3-91920,113,1512,113
N3-91925,2,88,2
N3-91926,23,284,23
N3-91927,120,1060,120
N3-91929,118,1577,118
N3-91933,345,6233,345
N3-91934,587,9365,587
N3-91935,930,13048,930
N3-98239,306,10351,306
N3-98246,1413,56943,1413
N3-98253,1376,66562,1376
N3-98260,1893,96386,1893
N6-11685,13,1725,13
N6N1221125,4237,1099819,4237
N6N1221133,6348,1611147,6348
N6N1321131,3197,691154,3197
N6N1321157,4921,1172664,4921
N6N1323178,1668,172286,1668
NA-397112,25,78,25
NA-402526,2,3,2
NA-710744,2,15,2
NA-710775,18,122,18
NA-710805,48,258,48
NA-710881,39,271,39
NA-710898,13,69,13
NA-740123,17,118,17
NA-743223,13,66,13
NA-743230,12,68,12
NA-743247,45,273,45
NA-743254,32,207,32
NA-743261,4,8,4
NA-743278,29,180,29
NA-743346,1,6,1
NA-743377,21,119,21
NA-743384,35,235,35
NA-743391,10,80,10
NJOJCVML,2,2,2
NL-22141,1,54,1
NL-22445,2,7,2
NL-23647,4,20,4
NL-25024,4,4,4
NL-25027,1,1,1
NL-26786,1,6,1
NL-29124,2,60,2
NL-35209,2,6,2
NL-46149,1,1,1
NL-54235,2,8,2
NL-54703,4,5,4
NL-54802,2,5,2
NL-54803,1,6,1
NL-55263,1,1,1
NL-55267,1,2,1
NL-55289,1,1,1
NL-72333,1,16,1
NL-86235,4,10,4
NO-8152732,542,6969,542
NO-8158715,710,7070,710
NO-92071,1733,21157,1733
NO-92072,1479,18134,1479
NO-92073,758,9830,758
NO-92074,320,4288,320
NO-93642,1480,18165,1480
NO-93644,939,15352,939
NO-98149,887,8768,887
NO-98151,415,4529,415
NO-99264,313,3308,313
O2-15413,950,44417,950
O2-15414,2169,108455,2169
O2-15421,1746,88186,1746
O2-3252330,1592,37905,1592
O2-3252347,1408,32446,1408
O2-3252392,1524,36088,1524
O2-35122,480,8929,480
O2-35123,482,9956,482
O2-35124,493,9603,493
O2-35312,3849,159477,3849
O2-35313,3129,128851,3129
O2-35314,3575,131764,3575
O271325104,3367,140238,3367
O271325121,7331,539020,7331
O271325139,7857,565114,7857
O271325188,203,19300,203
O271325196,5234,275868,5234
O271325220,8211,701205,8211
O271325261,68,6800,68
OAVUDX4316,15,552,15
PM-1967479,1,2,1
PNA211352,3,10,3
PNA261332,12,48,12
PNA261352,68,158,68
PNA331332,23,62,23
PNA331352,34,57,34
PNA431332,11,36,11
PNA431352,27,74,27
PNA571332,7,39,7
PNA571352,9,10,9
PNA791352,2,5,2
PNA79332,19,96,19
PNA79352,9,27,9
PT-111724,2044,74746,2044
PT-22052,7,280,7
PT-31142,595,9109,595
PT-31268,428,6025,428
PT-31411,1034,14991,1034
PT-3631137,694,7940,694
PT-44138,240,3193,240
PT-45114,222,2492,222
PT-46138,10,240,10
PT-72140,764,18346,764
PT-72148,3487,183788,3487
PT-72149,564,10300,564
PT93621131,1305,19231,1305
PT93621141,398,4539,398
PT93621143,496,5971,496
PT93621144,367,4422,367
PT93621151,810,12409,810
PT93621180,567,6803,567
Q1-21X4137,436,6437,436
Q1-31X6106,379,6641,379
Q1-48004,37,504,37
Q1-6159858,156,4361,156
Q1-6174797,195,4435,195
Q1-6182439,652,36749,652
Q1-6184698,251,3372,251
Q1-6X41790,79,1502,79
Q1-AUG3176,297,7492,297
Q1-AUG6184,6,94,6
Q170219214,85,1265,85
Q170223166,51,2034,51
Q170223186,11,10,11
Q170223187,32,211,32
Q170223191,2,2,2
Q170224164,173,2591,173
Q170224172,1018,55046,1018
Q170224180,148,2653,148
Q170224222,149,3647,149
Q170224256,84,1417,84
Q170224362,900,47723,900
Q170224628,1,1,1
Q170224677,111,1926,111
Q170224818,12,193,12
Q170225212,12,288,12
Q170225261,20,450,20
Q170225279,2,100,2
Q170226102,216,13704,216
Q170226185,11,252,11
Q2-21227,36,1044,36
Q2H1216133,41,666,41
Q2H1216159,36,882,36
Q2H1216166,25,512,25
Q2H1216174,21,546,21
Q2H1316149,146,4644,146
Q2H1416121,136,4574,136
Q2H1416139,196,7404,196
Q2H1416170,143,6108,143
Q2H1421564,80,1306,80
Q2H1516137,41,936,41
Q2H1616134,59,1644,59
Q7-9203,352,6383,352
Q7-9213,764,15727,764
Q7-9222,234,2346,234
Q7-9231,1992,53236,1992
Q7-9236,513,8995,513
Q7-9261,327,8753,327
Q7-9691,420,4439,420
Q7-9697,511,7191,511
Q7-9721,158,2800,158
Q8-40394,271,2262,271
Q8-41582,1,9,1
Q8-45043,34,37,34
Q8-471019,1,2,1
Q8-49260,79,321,79
Q8-F140381,181,1033,181
Q8F1214243,133,1141,133
Q9-52103,374,3261,374
Q9-52104,360,3062,360
Q9-53202,345,3158,345
Q9-59462,508,6597,508
Q9-59463,558,7254,558
Q9-59464,370,5017,370
Q9-59465,459,6122,459
Q9-59466,479,6239,479
Q9-59467,260,3405,260
Q9-59468,532,7649,532
Q9-59469,546,7789,546
Q9-59472,527,7006,527
Q9F2314249,3,52,3
QH-003206,294,3445,294
QH-003213,318,3538,318
QH-003244,257,2753,257
QH-003275,217,2475,217
QH-010007,180,3027,180
QH-015107,177,2145,177
QH-015194,180,2654,180
QH-015220,131,1348,131
QH-015466,1,12,1
QH-015633,226,3067,226
QH-017583,2902,39447,2902
QH-027676,4838,54255,4838
QH-044604,227,3359,227
QH-044606,151,1519,151
QH-052175,130,3852,130
QH-052267,137,2534,137
QH-067148,95,15110,95
QH-107257,276,3379,276
QH-107264,406,6044,406
QH-115061,254,4378,254
QH-115078,253,4220,253
QH-117349,528,6607,528
QH-117479,2038,33814,2038
QH-119015,3848,98939,3848
QH-119978,60,766,60
QH-120014,590,9443,590
QH-120502,708,12851,708
QH-120595,1548,31272,1548
QH-120632,1028,23554,1028
QH-120656,641,11758,641
QH-120669,1867,34873,1867
QH-120694,372,6720,372
QH-120780,540,12270,540
QH-120816,2040,42514,2040
QH-120823,1009,19461,1009
QH-120830,611,9642,611
QH-120922,3463,84033,3463
QH-120939,1445,31535,1445
QH-120984,1686,33199,1686
QH-120991,752,14757,752
QH-123579,2198,108696,2198
QH-123586,663,19266,663
QH-127010,157,8268,157
QH-127904,61,3330,61
QH-131119,532,9997,532
QH-131188,1136,23716,1136
QH-131195,451,7866,451
QH-131270,536,9301,536
QH-131775,1857,28814,1857
QH-131782,672,10328,672
QH-133991,3,1,3
QH-140484,137,2724,137
QH-140484D,33,2982,33
QH-151114,1815,25328,1815
QH-175980,21,177,21
QH-206615,311,5003,311
QH-207705,434,4854,434
QH-210207,1128,8520,1128
QH-210283,2589,38850,2589
QH-210982,986,5581,986
QH-215182,4,26,4
QH-217400,302,8243,302
QH-217493,372,10832,372
QH-217516,313,8151,313
QH-217523,272,10063,272
QH-221206,392,5220,392
QH-221282,400,4883,400
QH-222343,3339,449757,3339
QH-223579,152,3710,152
QH-226420,2544,9381,2544
QH-226420C,657,1378,657
QH-226709,171,3963,171
QH-226792,344,8843,344
QH-226822,22,949,22
QH-226839,81,2360,81
QH-226846,128,2258,128
QH-226853,175,2868,175
QH-226877,474,9112,474
QH-227311,809,7793,809
QH-228857,28,306,28
QH-228864,48,654,48
QH-231144,210,1056,210
QH-231168,189,4362,189
QH-231182,130,1515,130
QH-231199,183,1709,183
QH-231458,42,453,42
QH-232502,21,1215,21
QH-232618,24,482,24
QH-232625,20,558,20
QH-232632,22,372,22
QH-232649,21,446,21
QH-232656,19,393,19
QH-232663,6,293,6
QH-232670,18,364,18
QH-234649,239,2093,239
QH-235530,95,2249,95
QH-235561,79,1561,79
QH-237436,32,473,32
QH-237443,5,60,5
QH-237610,8,162,8
QH-237719,1548,5311,1548
QH-237719C,657,1734,657
QH-237733,2704,9938,2704
QH-237733C,545,1503,545
QH-243436,1191,11392,1191
QH-243443,921,8948,921
QH-243467,596,6378,596
QH-243535,782,8241,782
QH-243542,380,3984,380
QH-243665,615,7523,615
QH-244387,41,378,41
QH-244394,481,6577,481
QH-244417,6,32,6
QH-244714,38,387,38
QH-244721,68,699,68
QH-244745,9,152,9
QH-244899,1809,6010,1809
QH-253146,73,1096,73
QH-253153,35,214,35
QH-253160,51,473,51
QH-253184,1501,6106,1501
QH-258172,5760,269326,5760
QH-258189,3735,97737,3735
QH-259780,3569,74948,3569
QH-259797,1757,20103,1757
QH-260656,26,430,26
QH-266405,209,2561,209
QH-266528,327,4637,327
QH-266945,5878,439467,5878
QH-266952,4377,99653,4377
QH-270102,973,13302,973
QH-270218,928,13223,928
QH-271546,1275,10878,1275
QH-271577,1401,15302,1401
QH-274094,795,10014,795
QH-275114,584,7920,584
QH-275749,1582,17240,1582
QH-275756,540,7733,540
QH-276319,742,2673,742
QH-276326,2262,16755,2262
QH-276357,601,9334,601
QH-276364,473,7169,473
QH-276371,2,19,2
QH-276388,650,7990,650
QH-276425,7,27,7
QH-276432,540,7682,540
QH-279006,598,7673,598
QH-281184,520,6807,520
QH-281191,1487,23982,1487
QH-281399,1389,17046,1389
QH-281405,49,767,49
QH-281429,118,512,118
QH-281436,84,349,84
QH-281498,82,1322,82
QH-281634,150,1145,150
QH-281641,849,5627,849
QH-285344,138,1626,138
QH-288834,9,847,9
QH-28888,23,288,23
QH-307961,189,6002,189
QH-307982,75,2918,75
QH-308197,19,179,19
QH-314815,280,4215,280
QH-355359,2050,16098,2050
QH-355366,18,175,18
QH-355380,177,1435,177
QH-355434,12,47,12
QH-378015,282,2633,282
QH-391380,253,3940,253
QH-396934,129,4029,129
QH-400016,333,3440,333
QH-400023,823,27981,823
QH-400030,588,12500,588
QH-400047,512,12715,512
QH-400054,607,5832,607
QH-400900,56,1216,56
QH-400986,673,23120,673
QH-400993,534,11049,534
QH-401348,6,150,6
QH-401389,6,150,6
QH-405023,483,6162,483
QH-407463,96,957,96
QH-407470,4,19,4
QH-407487,2,11,2
QH-407517,105,1075,105
QH-407524,145,1358,145
QH-408005,158,1989,158
QH-408098,164,2075,164
QH-408210,1886,38440,1886
QH-410171,428,5200,428
QH-413303,270,3574,270
QH-413334,159,1895,159
QH-413372,217,2617,217
QH-413389,194,2184,194
QH-413402,129,1659,129
QH-413433,526,6306,526
QH-413471,108,1230,108
QH-414407,1139,17929,1139
QH-414575,780,11811,780
QH-414582,88,1273,88
QH-414629,568,8258,568
QH-414643,45,534,45
QH-414650,479,6829,479
QH-415451,212,2708,212
QH-418753,267,3615,267
QH-420489,131,1696,131
QH-420936,2080,62923,2080
QH-421353,514,16505,514
QH-421360,412,8022,412
QH-423508,2635,11321,2635
QH-423591,373,893,373
QH-431089,132,1734,132
QH-431096,153,1979,153
QH-431201,207,2886,207
QH-431324,230,3078,230
QH-432888,242,3253,242
QH-432963,2454,42299,2454
QH-432970,1174,8786,1174
QH-433837,1349,8713,1349
QH-433847,350,1748,350
QH-450257,214,2425,214
QH-450943,129,1492,129
QH-450950,152,1706,152
QH-456341,157,2232,157
QH-456747,2046,14883,2046
QH-457140,27,396,27
QH-457164,65,1044,65
QH-462328,79,1437,79
QH-462441,206,3061,206
QH-462774,2727,37383,2727
QH-466101,20,195,20
QH-466163,113,835,113
QH-466170,37,408,37
QH-466234,114,1721,114
QH-466258,83,1056,83
QH-466659,444,1224,444
QH-469679,95,2547,95
QH-472822,22,239,22
QH-489810,1612,3938,1612
QH-500463,29,477,29
QH-500494,3,16,3
QH-500531,1857,50709,1857
QH-506816,334,4123,334
QH-507057,143,2294,143
QH-507509,6,60,6
QH-508153,153,2758,153
QH-527927,2301,20770,2301
QH-566872,3356,111049,3356
QH-568807,214,2610,214
QH-568937,131,1541,131
QH-61019,4,48,4
QH-610211,11,84,11
QH-801364,46,590,46
QH-818798,33,386,33
QH-827905,139,4162,139
QH-832220,1353,19940,1353
QH-832244,805,12076,805
QH-832268,128,1339,128
QH-832305,1264,19046,1264
QH-832428,697,10673,697
QH-832442,66,661,66
QH-833563,82,1249,82
QH-847781,3,34,3
QH-851320,486,6541,486
QH-855666,882,17170,882
QH-856684,5234,262171,5234
QH-864161,1188,55853,1188
QH-864178,4316,174237,4316
QH-900140,575,7677,575
QH-904506,4,34,4
QH-904599,6,66,6
QH-905503,107,1458,107
QH-905572,734,2428,734
QH-905596,14,360,14
QH-905626,116,1178,116
QH-909990,328,3773,328
QH-914772,865,7004,865
QH-914895,203,389,203
QH-916691,25,267,25
QH-916721,1,1,1
QH-919164,200,3396,200
QH-921195,68,2332,68
QH-934150,70,548,70
QH-940009,428,1055,428
QH-940252,183,2130,183
QH-940283,682,8751,682
QH-940313,362,4903,362
QH-940320,561,6895,561
QH-940344,637,8442,637
QH-945385,112,1001,112
QH-945736,52,400,52
QH-948357,556,8029,556
QH-948364,1,12,1
QH-951111,831,12012,831
QH-951135,494,6838,494
QH-951159,117,1668,117
QH-951678,743,11088,743
QH-951692,384,5398,384
QH-951715,52,918,52
QH-951722,40,371,40
QH-951739,413,5640,413
QH-953397,20,271,20
QH-956888,22,139,22
QH-975186,134,2539,134
QH-975193,215,2388,215
QH-975858,147,1525,147
QH-975865,141,1989,141
QH-975889,183,2336,183
QH-977401,68,884,68
QH-977418,91,1039,91
QH-984294,3,18,3
QH-984416,112,1091,112
QH-984812,464,2106,464
QH-985176,10,98,10
QH-985404,8,42,8
QH-988957,48,185,48
QH-993685,218,1128,218
QH-994536,106,1618,106
QH-995465,161,2523,161
QH-996202,173,2391,173
QH-996226,101,1632,101
QH-996264,184,2717,184
QH-996363,186,3083,186
QH-996967,166,2290,166
S2-112115,13,179,13
S2-113280,4,141,4
S2-113518,20,222,20
S2-113617,24,503,24
S2-114119,5,204,5
S2-115116,9,75,9
S2-115529,10,120,10
S2-115536,5,12,5
S2-115918,3,33,3
S2-116915,18,197,18
S2-124798,2,6,2
S2-124866,15,338,15
S2-149111,3,30,3
S2-320305,40,616,40
S2-320312,1,3,1
S2-320411,39,770,39
S2-320428,23,307,23
S2-320442,19,309,19
S2-320459,6,66,6
S2-337396,7,90,7
S2-524131,13,150,13
S2-524148,15,174,15
S8-11276,85,1906,85
S8-21626,4,40,4
S8-21661,45,3029,45
S8-21780,102,5083,102
S8-21785,201,9255,201
S8-21918,102,3617,102
S8-22160,276,10250,276
S8-22171,116,1224,116
S8-22979,6,60,6
S8-22981,4,60,4
S8-51367,5,93,5
S8-53236,6,180,6
S8-81139,67,1804,67
S8-81146,39,1032,39
S8-81160,70,1837,70
S8-81221,42,593,42
S8A7121165,282,4415,282
S8A7121173,333,7201,333
SE36X61332,9,44,9
SE36X61352,23,52,23
SJNE21X332,1,6,1
SJNE21X352,3,10,3
SJNE51316,52,1054,52
SJNE51332,6,21,6
SJNE51352,9,16,9
SJNE61316,60,1710,60
SJNE61332,37,210,37
SJNE61352,7,11,7
ST26X51316,123,3504,123
ST26X51332,261,2138,261
ST26X51352,57,102,57
ST26X51386,15,15,15
T2-04175,9,68,9
T2-04475,3,15,3
T2-04485,2,14,2
T2-13126,554,15898,554
T2-13565,356,11154,356
T2-13570,256,7914,256
T2-3801,188,3094,188
T2-44475,46,353,46
T2-44775,42,298,42
T2-5413681,392,9899,392
T2-64775,4,27,4
T2-99045,17,127,17
T2-99545,6,28,6
T2-99945,23,162,23
T202441190,714,27092,714
T7-15411,363,5724,363
T7-18864,4630,481119,4630
T7-22155,686,12852,686
T7-22157,859,14871,859
T7-99672,3631,185349,3631
T8-14729,2311,72584,2311
T8-14743,1879,53031,1879
T8-15115,1901,52514,1901
T8-62113,79,1965,79
T8-62114,78,1964,78
T9-14302,435,11271,435
T9-143030,83,1725,83
T9-14328,10,80,10
T9-143528,772,11510,772
T9-143535,878,14891,878
T9-14355,45,1630,45
T9-143566,538,26978,538
T9-144389,129,8736,129
T9-145119,206,19491,206
T9-145294,3433,165214,3433
T9-145379,129,1328,129
T9-14670,1138,20610,1138
T9-14686,730,174449,730
T9-14692,13,5461,13
T9-14724,1,0,1
T9-14746,9,56,9
T9-14765,874,35250,874
T9-14771,402,19284,402
T9-14772,359,14227,359
T9-14776,560,17873,560
T9-14779,405,17494,405
T9-14882,42,1823,42
T9-17185Q,4,119,4
T9-17902,52,2048,52
T9-17962,44,1958,44
T9-23745,33,4480,33
T9-32330,4,34,4
T9-32334,16,3444,16
T9-32338,14,787,14
T9-32353,20,1056,20
T9-32364,3,128,3
T9-32416,3151,108696,3151
T9-32430,1,420,1
T9-32434,55,32736,55
T9-32460,113,6090,113
T9-32461,55,2992,55
T9-32471,37,1809,37
T9-32489,298,12603,298
T9-32552,13,3170,13
T9-32584,82,1552,82
T9-32663,88,1827,88
T9-32678,18,2497,18
T9-37420,2424,105191,2424
T9-37431,23,915,23
T9-37810,1513,53715,1513
T9-37819,5264,358944,5264
T9-41241,860,41067,860
T9-45645,1068,19318,1068
T9-45652,414,9505,414
T9-45669,474,11115,474
T9-45843,825,15793,825
T9-45850,3465,70886,3465
T9-45966,1364,21233,1364
T9-46765,1683,41070,1683
T9-47601,2077,83569,2077
T9-47731,3039,106382,3039
T9-48127,261,5630,261
T9-52411,29,847,29
T9-52412,66,1247,66
T9-52417,242,4474,242
T9-74143,599,15488,599
T9-741461,4765,89267,4765
T9-741521,2363,64003,2363
T9-741531,2101,83473,2101
T9-74172,2221,35149,2221
T9-77022,1184,39586,1184
T9-78196-2,30,370,30
T9-78196-3,59,542,59
T979221403,872,2261,872
T979221412,3818,91029,3818
T979221511,6681,931908,6681
T979221537,4777,131824,4777
T979221545,2757,70680,2757
T979221578,3426,85690,3426
T979221586,2588,101342,2588
T979221700,350,10586,350
T979221809,3292,171715,3292
T979221826,3056,57998,3056
T979221834,3124,61044,3124
T979221842,4491,99270,4491
T979221891,1538,52159,1538
T979221925,1840,27420,1840
T979221950,2375,43121,2375
T979221959,1924,43398,1924
TI-21X4136,1055,22062,1055
TI-31X6136,1051,20337,1051
TI-36X7152,2,2,2
TI-36X716,5,108,5
TI-36X71IN,7,75,7
TI-526X516,189,3247,189
TI-AEV26X6,10,470,10
TI-AEV316,5,146,5
TI-AEY6316,13,173,13
TI-AEY8316,7,111,7
TI-AQ21133,18,111,18
TI-AQ21135,1,1,1
TI-ASM4517,2,8,2
TI-AUT3211,1,1,1
TI-AWTY316,2,3,2
TI-CN21X71,1,36,1
TI-CN6X41,41,15060,41
TI-CN6X42,22,2916,22
TI-DAQYS51,13,45,13
TI-DAT7933,19,105,19
TI-DPSQ261,2,2,2
TI-EIY8316,3,84,3
TI-HA41352,2,4,2
TI-HT31H51,4,11,4
TI-HT3A431,9,80,9
TI-HT3V317,7,6,7
TI-HT3V318,3,3,3
TI-HT3W17,11,35,11
TI-HT3W211,1,1,1
TI-HT3W214,4,12,4
TI-HT3W317,32,198,32
TI-HT3W318,29,34,29
TI-HT3W319,1,1,1
TI-HT3W330,16,26,16
TI-HT3WA30,64,337,64
TI-HT3WA38,5,9,5
TI-HT3WAE3,5,13,5
TI-HT4D317,10,38,10
TI-HT4D318,22,30,22
TI-HT4E317,7,19,7
TI-HT4E318,33,80,33
TI-HT4E319,2,2,2
TI-HT4WD30,15,105,15
TI-HT4YE30,6,52,6
TI-HT4YE37,4,17,4
TI-HT6U317,2,5,2
TI-HT6U330,7,27,7
TI-I821X41,233,10288,233
TI-I821X42,43,634,43
TI-I821X45,14,21,14
TI-I86X41Q,76,2357,76
TI-I8QAW15,14,30,14
TI-IN21X41,12,988,12
TI-IN21X42,2,117,2
TI-IUSAT3,15,39,15
TI-IUSAT3Y,25,86,25
TI-IV21X41,185,6089,185
TI-IV6X41,69,2179,69
TI-IY45136,4,15,4
TI-IY46136,2,9,2
TI-IY86X31,35,1128,35
TI-IY86X41,43,1416,43
TI-IZT2N79,3,5,3
TI-MT91X01,1,1,1
TI-NT4431,3,3,3
TI-NT5C331,7,50,7
TI-PT2X791,1,1,1
TI-PT5261,1,1,1
TI-PT53313,8,34,8
TI-PT5431,1,1,1
TI-PT5X571,1,1,1
TI-S4NW52,71,133,71
TI-S5M332,9,21,9
TI-S5M336,1,9,1
TI-S5M352,287,641,287
TI-S5Y316,770,82238,770
TI-S5Y332,81,660,81
TI-S5Y336,846,24159,846
TI-S5Y352,40,71,40
TI-S5Y386,20,20,20
TI-S6F316,26,741,26
TI-S6F332,2,8,2
TI-S6F336,4,16,4
TI-S6F352,4,6,4
TI-S6MF336,1,6,1
TI-S6MF352,6,18,6
TI-SJ35136,7,43,7
TI-SJ36136,55,561,55
TI-ST3GS79,1,4,1
TI-ST5GS43,1,2,1
TI-ST5GS79,3,31,3
TI-STGS211,1,4,1
TI-STGSG43,3,6,3
TI-STGSG79,5,28,5
TI-SU26X51,49,101,49
TI-SU26X52,3,8,3
TI-T3AMT96,1,1,1
TI-T491X01,7,28,7
TI-T491X35,4,8,4
TI-T496X32,1,3,1
TI-T496X35,2,3,2
TI-T4AUG16,19,543,19
TI-T4AUG32,70,382,70
TI-T4AUG52,30,57,30
TI-T5AUG32,3,11,3
TI-T5DY21X,35,46,35
TI-T5UYN32,13,242,13
TI-T5UYN52,19,46,19
TI-T786X01,6,16,6
TI-T91X012,74,8854,74
TI-T91X014,91,327,91
TI-T91X015,20,31,20
TI-T96X252,5,72,5
TI-T96X254,40,182,40
TI-T96X255,61,89,61
TI-TDY4152,7,7,7
TI-TDY6152,30,35,30
TI-U621X51,5,8,5
TI-UFMU211,12,27,12
TI-UFT3W26,18,35,18
TI-UT3W33,7,16,7
TI-UT3W43,2,10,2
TI-UT3W57,1,15,1
TI-UT4W79,43,70,43
TIFAPOF316,1,48,1
TU-10320,39,894,39
TU-10329,44,1404,44
TU-10331,17,564,17
TU-10550,27,1088,27
TU-10559,30,1669,30
TU-10562,40,1992,40
TY-269454,3,360,3
TY-611146,11,466,11
TY-611153,12,247,12
U2-11135,116,6228,116
U2-11233,63,2814,63
U2-21155,175,8453,175
U2-21353,378,3546,378
U2-22228,111,1379,111
U2-22229,109,2329,109
U2-22233,146,1953,146
U2-22256,79,1724,79
U2-22416,195,2088,195
U2-2520,1352,19123,1352
U293681159,6931,365477,6931
U293681174,1965,26882,1965
U293681224,680,4903,680
U293681405,147,8816,147
U293681497,378,20736,378
U9-01627,27,332,27
U9-01651,685,4980,685
U9-16275,33,332,33
U9-16340,780,5925,780
U9-16367,162,5391,162
U9-16371,171,5267,171
U9-32491,122,8640,122
U9-32492,242,13560,242
U9-32687,13,144,13
U9-39615,135,8040,135
U9-39616,48,2522,48
U9-39617,139,7710,139
U9-39618,42,2416,42
U9-52394,21,87,21
U9-52395,1,2,1
U9-61584,1572,32433,1572
U9-62109,804,18758,804
U9-62260,1572,15197,1572
U9-62277,1762,17572,1762
U9-62512,859,6902,859
U9-62628,1178,10459,1178
U9-62635,1202,10558,1202
U9-741151,1237,10062,1237
U9-761131,1327,24589,1327
U9-761276,88,1683,88
U9-761286,193,3156,193
U9-76159AA,935,8886,935
U9-7621AA,1710,14948,1710
U9-76221AA,1141,13148,1141
U979321228,548,3002,548
U979321236,969,5551,969
U979321252,880,18181,880
U979321269,1429,17042,1429
UFM211352,2,2,2
UFM43332,32,167,32
UFM43352,12,16,12
UFM57332,18,63,18
UFM57352,13,18,13
UFM79332,60,218,60
UFM79352,195,403,195
UFMU43352,14,33,14
UFMU57352,32,66,32
UFMU79352,60,176,60
UPS261352,1,1,1
UVSU79352,4,9,4
X2-11211,84,11174,84
X2-31190,407,4996,407
X2-313367,192,2268,192
X2-313398,265,3059,265
X2-42611,572,6634,572
X2-43411,2910,94249,2910
X2-46561,2395,45723,2395
X2-54311,470,7764,470
X2-58911,237,3894,237
X2-59211,1438,26817,1438
X2332,2333,160983,2333
X2417,2897,221580,2897
X292226164,3371,132624,3371
X292626264,4067,142539,4067
X292626272,2961,95014,2961
X293696208,4899,210906,4899
X293696259,44,600,44
X293696415,1176,15055,1176
X293696563,1416,18932,1416
X293896354,971,37955,971
X6-013643,61,378,61
X6-11214,1097,3166,1097
X6-12320,352,1454,352
X6-12328,312,1500,312
X6-12335,396,1638,396
X6-12336,451,1822,451
X6-12337,333,1237,333
X6-12338,504,1920,504
X6-12339,567,2049,567
X6-124205,1147,5516,1147
X6-124311,1127,5346,1127
X6-124403,1454,6536,1454
X6-124427,1070,5066,1070
X6-124540,1054,4400,1054
X6-124588,1409,6286,1409
X6-129521,178,1474,178
X6-12988,865,3384,865
X6-187163,190,1575,190
X6-227135,256,2095,256
X6-32174,2433,13574,2433
X6-32378,1216,5149,1216
X6-328317,552,1487,552
X6-32846,1667,7533,1667
X6-32849,954,2881,954
X6-33135,797,2945,797
X6-33145,1124,4825,1124
X6-390013,104,910,104
X6-390217,113,701,113
X623014122,4028,25072,4028
X623014130,6576,43562,6576
X623014148,4123,22909,4123
X623014163,6138,40437,6138
XF-022754,29,173,29
XF-118390,187,1287,187
XF-118406,628,4445,628
XF-118468,372,2394,372
XF-118475,606,5295,606
XF-118499,450,3119,450
XF-118581,320,1842,320
XF-122328,63,376,63
XF-122380,28,180,28
XF-123301,188,1228,188
