SKU,pick_count,total_quantity_picked,movement_frequency
29-24782,1116,14127,1116
29-299193,162,1897,162
29-305805,747,14514,747
29-305881,1174,30099,1174
29-33854,2023,224315,2023
29-34832,565,6341,565
29-34924,692,8452,692
29-34948,1,12,1
29-35254,1154,57336,1154
29-35256,319,3769,319
29-384947,180,1817,180
29-384978,158,1619,158
29-401952,1,5,1
29-405667,1,2,1
29-407203,41,3225,41
29-409149,93,671,93
29-409521,198,2505,198
29-419428,2,24,2
29-425626,761,11722,761
29-425954,271,3706,271
29-425961,441,5774,441
29-426016,606,11046,606
29-426580,799,11607,799
29-426597,671,9587,671
29-426900,774,13555,774
29-430501,31,5580,31
29-437810,231,2825,231
29-437827,297,3670,297
29-442600,48,3001,48
29-448312,1,6,1
29-448636,1099,28063,1099
29-448643,447,7672,447
29-448650,221,3189,221
29-459164,135,2302,135
29-459188,202,2779,202
29-477359,329,4585,329
29-477366,355,5041,355
29-478494,405,4579,405
29-486481,2,12,2
29-487662,1,4,1
29-487679,3,26,3
29-48907,984,20485,984
29-48914,987,14990,987
29-48976,1548,32281,1548
29-64570,859,8095,859
29-64685,1623,46817,1623
29-825178,232,3394,232
29-825239,381,7368,381
29-85028,789,15550,789
29-85830,2093,68301,2093
29-85861,1179,23734,1179
29-85892,1453,49102,1453
29-85939,1266,27334,1266
29-86254,695,12997,695
29-91510,3302,17123,3302
29-920780,190,2100,190
29-938174,428,19892,428
29-94013,896,19318,896
29-94983,1724,54595,1724
29-952873,671,10370,671
29-95580,1043,21437,1043
29-973168,968,13437,968
29-975025,515,5669,515
29-975933,203,1868,203
29-975940,225,2056,225
2952391318,312,3118,312
2953091932,959,18896,959
2953091940,1468,29417,1468
2953485251,2023,10743,2023
2954491249,387,4838,387
2954776210,1607,42577,1607
2954776222,718,19412,718
2954788157,669,13391,669
2954788198,1535,33178,1535
2954793230,4073,164858,4073
2954793248,914,17673,914
2954793256,792,15550,792
2954793304,2650,175793,2650
2954793487,815,16722,815
35-11127,2,305,2
35-13925,223,6468,223
35-174987,99,2882,99
35-20205,9,3240,9
35-311610,134,4916,134
35-311627,284,14486,284
35-311634,458,25812,458
35-311641,101,3403,101
35-311658,167,3629,167
35-311665,59,1944,59
35-41656,272,11707,272
35-45314,1,12,1
35-49046,8,2040,8
35-54215,166,7196,166
35-55199,137,5370,137
35-82103,68,3156,68
35-92790,39,308,39
35-92796,48,390,48
35-92797,45,362,45
35-92798,31,207,31
35-92799,44,314,44
3575026123,132,4323,132
3575421127,1454,106829,1454
3575421308,3,36,3
3575423123,4316,273178,4316
3575423214,1809,65850,1809
3575423313,671,11337,671
3575423412,351,12224,351
3575524517,17,591,17
3575625140,748,24353,748
3575721120,77,1552,77
3575821136,67,2460,67
3575926125,109,4063,109
3576526123,28,40,28
3576526157,42,109,42
3576526172,17,36,17
3576526297,166,586,166
3576526313,94,159,94
3576526362,11,13,11
3576721137,616,13420,616
3576721145,463,10392,463
3576721153,625,14072,625
3576721160,746,18707,746
3576721178,553,12465,553
36-111352,77,187,77
36-131011,1,3,1
36-131080,7,33,7
36-21815DI,6,30,6
36-21816DI,1,2,1
36-2195221,354,966,354
36-21AV-7Y,26,321,26
36-24AV,37,584,37
36-31059,2,4,2
36-31066,44,105,44
36-31073,37,99,37
36-3AAMFE,100,715,100
36-423AV,41,1278,41
36-5171123,713,13501,713
36-5171130,482,8811,482
36-5171147,692,12809,692
36-5171215,507,9502,507
36-565119,11,19,11
36-5MQ-C5,470,34789,470
36-62251,3,72,3
36-786AV,100,984,100
36-8MQ-23,2536,45048,2536
36-926-7N7,12,1417,12
36-92648MQ,1,440,1
36-926NCTU,203,856,203
36-935-5N3,392,24228,392
36-935NCTU,189,756,189
36-CJLFMFE,71,494,71
36-CJLFSFE,76,530,76
36-CJLGSPO,10,42,10
36-CST0MFE,6,20,6
36-CSTHFM,8,41,8
36-CW5AAM,17,35,17
36-F3E,5,64,5
36-FGM7W,60,270,60
36-FW3AAMF,35,504,35
36-L3-3,2,48,2
36-L4-3,2,48,2
36-LF34A-2,68,1529,68
36-LJCQPTU,5,29,5
36-ME826-3,92,1576,92
36-ME835-3,122,2123,122
36-MFE4AAA,62,478,62
36-MFELFZ,15,37,15
