SKU,UOM1,UOM2,UOM3,HGT1,WID1,DPTH1,product_volume,pick_count,total_quantity_picked,movement_frequency,movement_category,cluster,movement_score,space_requirement_score,storage_priority_score,storage_priority
PT93621144,UN,CJ,PT,26,12,10,3120,367,4422,367,Medium Movement,0,0.519433962264151,0.8754716981132076,0.6262452830188678,Medium Priority
PT93621151,UN,CJ,PT,20,10,10,2000,810,12409,810,High Movement,0,0.7258490566037736,0.8049056603773584,0.7495660377358491,Medium Priority
PT93621180,UN,CJ,PT,26,12,10,3120,567,6803,567,Medium Movement,0,0.6349056603773585,0.8754716981132076,0.7070754716981131,Medium Priority
Q2-21227,UN,CJ,PT,13,7,7,637,36,1044,36,Low Movement,0,0.14339622641509434,0.4171698113207547,0.22552830188679243,Low Priority
Q2H1216133,UN,CJ,PT,10,7,7,490,41,666,41,Low Movement,0,0.16018867924528302,0.34169811320754717,0.21464150943396226,Low Priority
Q2H1216159,UN,CJ,PT,9,7,7,441,36,882,36,Low Movement,0,0.14339622641509434,0.31471698113207547,0.19479245283018867,Low Priority
Q2H1216166,UN,CJ,PT,12,7,7,588,25,512,25,Low Movement,0,0.10811320754716981,0.3956603773584906,0.19437735849056603,Low Priority
Q2H1216174,UN,CJ,PT,13,7,7,637,21,546,21,Low Movement,0,0.09471698113207547,0.4171698113207547,0.1914528301886792,Low Priority
Q2H1316149,UN,CJ,PT,8,7,7,392,146,4644,146,Low Movement,0,0.3286792452830189,0.28830188679245283,0.31656603773584907,Low Priority
Q2H1416121,UN,CJ,PT,11,8,8,704,136,4574,136,Low Movement,0,0.3158490566037736,0.44150943396226416,0.3535471698113207,Low Priority
Q2H1416139,UN,CJ,PT,8,7,7,392,196,7404,196,Medium Movement,0,0.3911320754716981,0.28830188679245283,0.3602830188679245,Low Priority
Q2H1416170,UN,CJ,PT,8,7,7,392,143,6108,143,Low Movement,0,0.3241509433962264,0.28830188679245283,0.3133962264150943,Low Priority
Q2H1421564,UN,CJ,PT,9,8,8,576,80,1306,80,Low Movement,0,0.23981132075471698,0.3860377358490566,0.28367924528301885,Low Priority
Q2H1516137,UN,CJ,PT,14,7,7,686,41,936,41,Low Movement,0,0.16018867924528302,0.4360377358490566,0.2429433962264151,Low Priority
Q2H1616134,UN,CJ,PT,11,8,8,704,59,1644,59,Low Movement,0,0.19811320754716982,0.44150943396226416,0.2711320754716981,Low Priority
Q7-9213,UN,CJ,PT,24,7,7,1176,764,15727,764,High Movement,0,0.71,0.6647169811320754,0.6964150943396226,Medium Priority
Q7-9222,UN,CJ,PT,1,1,1,1,234,2346,234,Medium Movement,0,0.4239622641509434,0.08886792452830189,0.32343396226415094,Low Priority
Q7-9231,UN,CJ,PT,24,7,7,1176,1992,53236,1992,High Movement,1,0.9011320754716982,0.6647169811320754,0.8302075471698114,High Priority
Q7-9236,UN,CJ,PT,1,1,1,1,513,8995,513,Medium Movement,0,0.6109433962264151,0.08886792452830189,0.45432075471698113,Medium Priority
Q7-9261,UN,CJ,PT,25,7,7,1225,327,8753,327,Medium Movement,0,0.4939622641509434,0.6915094339622642,0.5532264150943396,Medium Priority
