SKU,UOM1,UOM2,UOM3,HGT1,WID1,DPTH1,product_volume,pick_count,total_quantity_picked,movement_frequency,movement_category,cluster
C8-4459,UN,CJ,PT,1,1,1,1,2487,134764,2487,High Movement,1
C8-5926,UN,CJ,PT,1,1,1,1,1241,57874,1241,High Movement,1
C8-6912,UN,CJ,PT,1,1,1,1,20,73,20,Low Movement,0
C8-60167,UN,CJ,PT,15,3,12,540,599,10128,599,Medium Movement,0
C8-60667,UN,CJ,PT,14,8,4,448,384,4981,384,Medium Movement,0
C8-8217,UN,CJ,PT,1,1,1,1,11,191,11,Low Movement,0
C8-9238,UN,CJ,PT,1,1,1,1,25,408,25,Low Movement,0
C896917167,UN,CJ,PT,3,9,9,243,90,2752,90,Low Movement,0
C896917423,UN,CJ,PT,5,10,10,500,26,1776,26,Low Movement,0
C896917431,UN,CJ,PT,4,9,9,324,3257,232386,3257,High Movement,3
C896917449,UN,CJ,PT,4,9,9,324,3630,252371,3630,High Movement,3
C8-977164,UN,CJ,PT,4,26,34,3536,83,4081,83,Low Movement,0
C8-977214,UN,CJ,PT,3,9,9,243,39,1428,39,Low Movement,0
C8-977205,UN,CJ,PT,4,9,9,324,40,612,40,Low Movement,0
C8-977206,UN,CJ,PT,4,9,9,324,28,420,28,Low Movement,0
C8-977207,UN,CJ,PT,4,9,9,324,66,918,66,Low Movement,0
C8-977374,UN,CJ,PT,3,9,9,243,37,946,37,Low Movement,0
C8-977384,UN,CJ,PT,3,9,9,243,38,1140,38,Low Movement,0
C098815153,UN,CJ,PT,29,3,6,522,117,3075,117,Low Movement,0
C098815178,UN,CJ,PT,29,4,8,928,130,3289,130,Low Movement,0
C098815186,UN,CJ,PT,29,3,6,522,83,2567,83,Low Movement,0
C098815194,UN,CJ,PT,29,4,8,928,81,1086,81,Low Movement,0
C098815236,UN,CJ,PT,29,4,7,812,81,1940,81,Low Movement,0
C098815244,UN,CJ,PT,29,4,7,812,120,3337,120,Low Movement,0
C098815293,UN,CJ,PT,28,7,11,2156,800,14590,800,High Movement,0
CM-111128,UN,CJ,PT,24,7,7,1176,5487,269298,5487,High Movement,3
CM-111142,UN,CJ,PT,31,15,10,4650,5124,102221,5124,High Movement,3
CM-111326,UN,CJ,PT,24,7,7,1176,5576,194314,5576,High Movement,3
CM-111340,UN,CJ,PT,8,33,40,10560,4443,76253,4443,High Movement,3
CM-111524,UN,CJ,PT,24,7,7,1176,4642,153359,4642,High Movement,3
CM-111548,UN,CJ,PT,31,15,10,4650,4439,77273,4439,High Movement,3
CM-111722,UN,CJ,PT,24,7,7,1176,5259,180134,5259,High Movement,3
CM-111746,UN,CJ,PT,31,15,10,4650,4989,86991,4989,High Movement,3
CM-111814,UN,CJ,PT,31,15,20,9300,3230,32959,3230,High Movement,1
CM-111821,UN,CJ,PT,31,15,20,9300,1847,13688,1847,High Movement,1
CM-111968,UN,CJ,PT,31,15,10,4650,35,472,35,Low Movement,0
CM-113122,UN,CJ,PT,31,15,20,9300,844,6092,844,High Movement,0
CM-113146,UN,CJ,PT,24,7,7,1176,2951,45873,2951,High Movement,1
CM-1133,UN,CJ,PT,1,1,1,1,5152,145520,5152,High Movement,3
CM-114778,UN,CJ,PT,23,7,7,1127,921,14958,921,High Movement,0
CM-114785,UN,CJ,PT,30,15,10,4500,326,3152,326,Medium Movement,0
CM-116925,UN,CJ,PT,31,15,20,9300,1592,11692,1592,High Movement,1
CM-117588,UN,CJ,PT,31,15,20,9300,1761,13274,1761,High Movement,1
CM-117823,UN,CJ,PT,31,13,10,4030,821,5382,821,High Movement,0
CM-117830,UN,CJ,PT,30,11,6,1980,1633,26565,1633,High Movement,1
CM-117847,UN,CJ,PT,24,7,6,1008,2453,34871,2453,High Movement,1
CM-117861,UN,CJ,PT,30,7,9,1890,1074,14961,1074,High Movement,1
CM-117878,UN,CJ,PT,24,7,6,1008,1563,19903,1563,High Movement,1
CM-117809,UN,CJ,PT,32,12,9,3456,500,3168,500,Medium Movement,0
CM-117915,UN,CJ,PT,29,11,6,1914,942,14729,942,High Movement,0
CM-117922,UN,CJ,PT,24,7,6,1008,1970,28728,1970,High Movement,1
CM-117939,UN,CJ,PT,31,13,10,4030,700,4535,700,High Movement,0
CM-117953,UN,CJ,PT,24,7,6,1008,1897,29092,1897,High Movement,1
CM-117960,UN,CJ,PT,29,8,9,2088,777,5560,777,High Movement,0
CM-117908,UN,CJ,PT,30,7,9,1890,1673,27352,1673,High Movement,1
CM-117014,UN,CJ,PT,24,7,6,1008,2762,43133,2762,High Movement,1
CM-117021,UN,CJ,PT,32,8,14,3584,666,4705,666,High Movement,0
CM-119445,UN,CJ,PT,31,10,20,6200,5,66,5,Low Movement,0
CM-1257,UN,CJ,PT,1,1,1,1,939,15120,939,High Movement,0
CM-1331,UN,CJ,PT,1,1,1,1,4832,119852,4832,High Movement,3
CM-1539,UN,CJ,PT,29,8,9,2088,4247,104272,4247,High Movement,3
CM-1677,UN,CJ,PT,6,8,13,624,2408,42562,2408,High Movement,1
CM-1684,UN,CJ,PT,29,8,11,2552,112,1141,112,Low Movement,0
CM-1714,UN,CJ,PT,22,10,6,1320,412,3527,412,Medium Movement,0
CM-1721,UN,CJ,PT,1,1,1,1,1300,21353,1300,High Movement,1
CM-1737,UN,CJ,PT,1,1,1,1,4934,116876,4934,High Movement,3
CM-1745,UN,CJ,PT,1,1,1,1,421,5132,421,Medium Movement,0
CM-1967,UN,CJ,PT,1,1,1,1,592,6678,592,Medium Movement,0
CM-1974,UN,CJ,PT,1,1,1,1,238,3034,238,Medium Movement,0
CM-1981,UN,CJ,PT,1,1,1,1,182,1566,182,Medium Movement,0
CM-1998,UN,CJ,PT,1,1,1,1,774,11658,774,High Movement,0
CM-1066,UN,CJ,PT,1,1,1,1,119,1668,119,Low Movement,0
CM-1073,UN,CJ,PT,1,1,1,1,188,3629,188,Medium Movement,0
CM-1080,EX,CJ,PT,1,1,1,1,444,1055,444,Medium Movement,0
CM-2802,UN,CJ,PT,29,8,9,2088,2051,46988,2051,High Movement,1
CM-3168,UN,CJ,PT,29,8,10,2320,744,11691,744,High Movement,0
CM-3212,UN,CJ,PT,1,1,1,1,10,306,10,Low Movement,0
CM-3967,UN,CJ,PT,11,17,13,2431,40,534,40,Low Movement,0
CM-4204,UN,CJ,PT,6,8,13,624,1811,34130,1811,High Movement,1
CM-4310,UN,CJ,PT,8,17,10,1360,1258,31103,1258,High Movement,1
CM-4693,UN,CJ,PT,9,12,19,2052,586,10516,586,Medium Movement,0
CM-4790,UN,CJ,PT,29,8,10,2320,428,6499,428,Medium Movement,0
CM-4884,UN,CJ,PT,8,17,10,1360,1296,31659,1296,High Movement,1
CM-4891,UN,CJ,PT,9,12,19,2052,517,10252,517,Medium Movement,0
CM-4808,UN,CJ,PT,6,8,13,624,2030,34945,2030,High Movement,1
CM-4082,UN,CJ,PT,22,10,6,1320,760,9251,760,High Movement,0
CM-4099,UN,CJ,PT,29,12,7,2436,224,2854,224,Medium Movement,0
CM-523585,UN,PT, ,30,27,15,12150,15,95,15,Low Movement,0
CM-6369,EX,CJ,PT,1,1,1,1,498,1214,498,Medium Movement,0
CM-6970,UN,CJ,PT,15,4,7,420,171,2734,171,Medium Movement,0
CM-7151,UN,CJ,PT,9,13,19,2223,476,8212,476,Medium Movement,0
CM-7168,UN,CJ,PT,8,17,10,1360,915,22325,915,High Movement,0
CM-7175,UN,CJ,PT,6,8,13,624,1819,23350,1819,High Movement,1
CM-7182,UN,CJ,PT,15,4,7,420,174,1637,174,Medium Movement,0
CM-7298,UN,CJ,PT,1,1,1,1,114,814,114,Low Movement,0
CM-7366,UN,CJ,PT,28,8,11,2464,253,2937,253,Medium Movement,0
CM-7373,UN,CJ,PT,22,10,6,1320,661,7758,661,High Movement,0
CM-7786,UN,CJ,PT,1,1,1,1,265,4021,265,Medium Movement,0
CM-7793,UN,CJ,PT,1,1,1,1,1043,20754,1043,High Movement,1
CM-7700,UN,CJ,PT,6,8,13,624,1519,23884,1519,High Movement,1
CM-8585,UN,CJ,PT,22,7,9,1386,657,8157,657,High Movement,0
CM-8639,UN,CJ,PT,29,8,11,2552,265,3374,265,Medium Movement,0
CM-0220,UN,CJ,PT,1,1,1,1,135,1091,135,Low Movement,0
CM-0237,UN,CJ,PT,24,7,7,1176,524,6082,524,Medium Movement,0
CM-0244,UN,CJ,PT,30,8,10,2400,213,2849,213,Medium Movement,0
CM-0497,UN,CJ,PT,1,1,1,1,98,1258,98,Low Movement,0
CM-0404,UN,CJ,PT,1,1,1,1,133,1819,133,Low Movement,0
D9-24123,PQ,CJ,PT,23,6,7,966,13,454,13,Low Movement,0
D9-31677,PQ,CJ,PT,14,7,7,686,398,12316,398,Medium Movement,0
D9-31684,PQ,CJ,PT,13,8,8,832,620,16279,620,Medium Movement,0
D9-31691,PQ,CJ,PT,13,9,8,936,607,18385,607,Medium Movement,0
D9-31605,PQ,CJ,PT,14,10,10,1400,476,15300,476,Medium Movement,0
D9-31714,PQ,CJ,PT,16,10,9,1440,340,11178,340,Medium Movement,0
D9-31728,PQ,CJ,PT,48,17,32,26112,367,13771,367,Medium Movement,0
D9-31738,PQ,CJ,PT,2,63,16,2016,546,16533,546,Medium Movement,0
D9-31745,PQ,CJ,PT,2,19,19,722,616,20603,616,Medium Movement,0
D9-31752,PQ,CJ,PT,2,22,21,924,794,27133,794,High Movement,0
D9-31769,PQ,CJ,PT,2,25,23,1150,582,20474,582,Medium Movement,0
D9-31773,PQ,CJ,PT,3,12,11,396,912,40701,912,High Movement,0
D9-31783,PQ,CJ,PT,5,11,10,550,743,33626,743,High Movement,0
D9-31797,PQ,CJ,PT,3,12,11,396,259,9362,259,Medium Movement,0
D9-31707,PQ,CJ,PT,3,13,11,429,937,41006,937,High Movement,0
D9-523905,UN,CJ,PT,21,11,21,4851,103,7148,103,Low Movement,0
D9-50837,PQ,CJ,PT,1,37,26,962,153,7252,153,Medium Movement,0
D9-50839,PQ,CJ,PT,1,38,30,1140,235,10283,235,Medium Movement,0
D9-50845,PQ,CJ,PT,1,1,1,1,66,1126,66,Low Movement,0
D9-50848,PQ,CJ,PT,1,1,1,1,54,1240,54,Low Movement,0
D9-50840,PQ,CJ,PT,1,1,1,1,75,1715,75,Low Movement,0
D9-50854,PQ,CJ,PT,20,5,4,400,156,9799,156,Medium Movement,0
D9-50855,PQ,CJ,PT,32,4,6,768,129,6876,129,Low Movement,0
D9-50857,PQ,CJ,PT,1,1,1,1,175,7960,175,Medium Movement,0
D9-50918,PQ,CJ,PT,1,18,20,360,303,20759,303,Medium Movement,0
D9-50910,PQ,CJ,PT,1,1,1,1,365,27693,365,Medium Movement,0
D9-50922,PQ,CJ,PT,6,18,7,756,407,28067,407,Medium Movement,0
D9-50924,PQ,CJ,PT,1,1,1,1,82,4264,82,Low Movement,0
D9-50929,PQ,CJ,PT,1,1,1,1,33,958,33,Low Movement,0
D9-50932,UN,CJ,PT,1,1,1,1,26,475,26,Low Movement,0
D9-50934,PQ,CJ,PT,1,1,1,1,30,701,30,Low Movement,0
D971021171,PQ,CJ,PT,1,15,17,255,569,46368,569,Medium Movement,0
D971021213,PQ,CJ,PT,1,17,20,340,854,69582,854,High Movement,0
D971021239,PQ,CJ,PT,6,20,6,720,1368,119927,1368,High Movement,1
D971021230,PQ,CJ,PT,7,18,6,756,1222,103118,1222,High Movement,1
D971021241,PQ,CJ,PT,1,33,27,891,547,31292,547,Medium Movement,0
D971021262,PQ,CJ,PT,1,33,24,792,1197,75966,1197,High Movement,1
D971021296,PQ,CJ,PT,1,38,29,1102,1842,88707,1842,High Movement,1
D971021361,PQ,CJ,PT,1,17,14,238,834,61356,834,High Movement,0
D971021395,PQ,CJ,PT,1,18,14,252,637,47864,637,High Movement,0
D971022211,PQ,CJ,PT,1,16,20,320,872,73109,872,High Movement,0
D971022229,PQ,CJ,PT,7,19,5,665,1090,102286,1090,High Movement,1
D971022260,PQ,CJ,PT,1,31,26,806,1020,75390,1020,High Movement,0
D971029125,PQ,CJ,PT,6,19,5,570,4864,438940,4864,High Movement,3
D971029141,PQ,CJ,PT,1,31,26,806,6400,588049,6400,High Movement,3
D9-73345,PQ,CJ,PT,1,23,28,644,177,7670,177,Medium Movement,0
D9-73346,PQ,CJ,PT,1,21,27,567,179,8923,179,Medium Movement,0
D9-73347,PQ,CJ,PT,1,23,25,575,196,12283,196,Medium Movement,0
D9-73361,PQ,CJ,PT,21,11,21,4851,10,34,10,Low Movement,0
D9-73367,PQ,CJ,PT,6,39,28,6552,13,40,13,Low Movement,0
D9-7379,PQ,CJ,PT,1,34,26,884,881,59541,881,High Movement,0
D976223237,PQ,CJ,PT,1,32,26,832,14,361,14,Low Movement,0
D976223310,PQ,CJ,PT,33,5,7,1155,146,7685,146,Low Movement,0
D0-512111,UN,CJ,PT,29,6,10,1740,639,8837,639,High Movement,0
D0-512135,UN,CJ,PT,21,7,6,882,1143,23241,1143,High Movement,1
D0-513118,UN,CJ,PT,29,8,7,1624,964,15703,964,High Movement,0
D0-513132,UN,CJ,PT,21,6,6,756,1951,52907,1951,High Movement,1
D074126399,UN,CJ,PT,9,12,11,1188,1120,16551,1120,High Movement,1
D074126307,UN,CJ,PT,9,11,11,1089,1282,24767,1282,High Movement,1
D074126415,UN,CJ,PT,8,12,11,1056,1034,17033,1034,High Movement,1
DC-1111848,UN,CJ,PT,14,7,7,686,1738,175122,1738,High Movement,1
DC-11159,UN,CJ,PT,12,7,7,588,1025,232513,1025,High Movement,0
DC-820015,UN,CJ,PT,25,7,7,1225,3103,477968,3103,High Movement,1
DC-820095,UN,CJ,PT,12,7,7,588,6043,1311520,6043,High Movement,3
DC-989164,UN,CJ,PT,12,6,6,432,167,36803,167,Medium Movement,0
DO-1124,UN,CJ,PT,29,9,8,2088,73,4776,73,Low Movement,0
DO-2184,UN,CJ,PT,25,7,7,1225,260,23276,260,Medium Movement,0
DO-2666,UN,CJ,PT,25,7,7,1225,433,26797,433,Medium Movement,0
DT-12574,EX,CJ,PT,18,25,28,12600,15,25,15,Low Movement,0
DT-13948,EX,CJ,PT,22,22,10,4840,11,21,11,Low Movement,0
DT-130785,EX,CJ,PT,12,14,16,2688,14,14,14,Low Movement,0
DT-18526,EX,CJ,PT,18,25,28,12600,8,19,8,Low Movement,0
DT-18840,EX,CJ,PT,22,22,10,4840,8,24,8,Low Movement,0
DT-10239,EX,CJ,PT,17,17,7,2023,13,21,13,Low Movement,0
DT-549434,EX,CJ,PT,18,25,28,12600,13,20,13,Low Movement,0
DT-509130,EX,CJ,PT,18,25,28,12600,27,34,27,Low Movement,0
DT-509250,EX,CJ,PT,18,25,28,12600,18,18,18,Low Movement,0
DT-726698,EX,CJ,PT,9,15,20,2700,21,27,21,Low Movement,0
DT-733299,UN,CJ,PT,6,1,20,120,12,125,12,Low Movement,0
DT-733329,UN,CJ,PT,19,6,13,1482,18,385,18,Low Movement,0
DT-762448,BR,CJ,PT,18,25,28,12600,8,137,8,Low Movement,0
DT-783915,EX,CJ,PT,22,22,10,4840,14,22,14,Low Movement,0
DT-703935,EX,CJ,PT,18,25,28,12600,30,35,30,Low Movement,0
DT-04542,EX,CJ,PT,18,25,28,12600,7,16,7,Low Movement,0
DU-213122,UN,CJ,PT,19,6,14,1596,64,1132,64,Low Movement,0
DU-213124,UN,CJ,PT,1,1,1,1,24,1176,24,Low Movement,0
DU-213126,UN,CJ,PT,2,37,57,4218,9,26,9,Low Movement,0
DU-214131,UN,CJ,PT,1,1,1,1,137,3687,137,Low Movement,0
DU-214134,UN,CJ,PT,3,18,57,3078,56,146,56,Low Movement,0
DU-214139,UN,CJ,PT,19,7,3,399,114,2692,114,Low Movement,0
DU-214143,UN,CJ,PT,1,1,1,1,71,2790,71,Low Movement,0
DU-215114,UN,CJ,PT,19,11,2,418,192,7016,192,Medium Movement,0
DU-215119,UN,CJ,PT,9,12,3,324,423,17022,423,Medium Movement,0
DU-215128,UN,CJ,PT,10,8,5,400,74,1384,74,Low Movement,0
DU-215132,UN,CJ,PT,19,12,3,684,95,2960,95,Low Movement,0
DU-215135,UN,CJ,PT,9,25,2,450,247,5198,247,Medium Movement,0
DU-215138,UN,CJ,PT,8,12,3,288,135,4855,135,Low Movement,0
DU-215146,UN,CJ,PT,19,11,2,418,193,5845,193,Medium Movement,0
DU-215148,UN,CJ,PT,3,11,13,429,128,4245,128,Low Movement,0
DU-215140,UN,CJ,PT,9,3,13,351,166,5937,166,Medium Movement,0
DU-215162,UN,CJ,PT,4,14,15,840,8,171,8,Low Movement,0
DU-215168,UN,CJ,PT,9,12,5,540,28,922,28,Low Movement,0
DU-215160,UN,CJ,PT,9,12,5,540,23,782,23,Low Movement,0
DU-215172,UN,CJ,PT,17,4,6,408,13,389,13,Low Movement,0
DU-217116,UN,CJ,PT,20,2,9,360,13,219,13,Low Movement,0
DU-218114,UN,CJ,PT,20,2,13,520,20,296,20,Low Movement,0
DU-218117,UN,CJ,PT,20,10,2,400,71,806,71,Low Movement,0
DU-218110,UN,CJ,PT,1,1,1,1,71,921,71,Low Movement,0
DU-218123,UN,CJ,PT,20,1,26,520,14,231,14,Low Movement,0
DU-218126,UN,CJ,PT,20,10,2,400,21,342,21,Low Movement,0
DU-218129,UN,CJ,PT,19,1,26,494,26,393,26,Low Movement,0
DU-219112,UN,CJ,PT,1,1,1,1,82,1687,82,Low Movement,0
DU-219118,UN,CJ,PT,1,1,1,1,39,631,39,Low Movement,0
DU-219110,UN,CJ,PT,1,1,1,1,37,1380,37,Low Movement,0
DU-219128,UN,CJ,PT,1,1,1,1,28,449,28,Low Movement,0
DU-222128,UN,CJ,PT,6,17,2,204,3,37,3,Low Movement,0
EF-1126,UN,CJ,PT,22,8,5,880,142,3935,142,Low Movement,0
EF-1127,UN,CJ,PT,1,1,1,1,33,888,33,Low Movement,0
EF-1132,UN,CJ,PT,1,1,1,1,37,72,37,Low Movement,0
EF-1133,UN,CJ,PT,26,10,6,1560,29,691,29,Low Movement,0
EF-1134,UN,CJ,PT,26,10,6,1560,29,612,29,Low Movement,0
EF-2112,UN,CJ,PT,18,5,5,450,2007,51567,2007,High Movement,1
EF-2113,UN,CJ,PT,18,5,5,450,77,1459,77,Low Movement,0
EF-2114,UN,CJ,PT,30,12,20,7200,147,279,147,Low Movement,0
EF-2182,UN,CJ,PT,18,5,5,450,307,5589,307,Medium Movement,0
EF-2183,UN,CJ,PT,18,5,5,450,746,14013,746,High Movement,0
EF-21833,PK,CJ,PT,18,5,5,450,34,3864,34,Low Movement,0
EF-2103,UN,CJ,PT,13,9,9,1053,57,952,57,Low Movement,0
EF-2214,UN,CJ,PT,18,5,5,450,203,3494,203,Medium Movement,0
EF-2276,UN,CJ,PT,19,5,5,475,77,2460,77,Low Movement,0
EF-2277,UN,CJ,PT,22,7,6,924,67,1096,67,Low Movement,0
EQ-15824,UN,CJ,PT,1,1,1,1,2862,260914,2862,High Movement,1
EQ-15848,UN,CJ,PT,1,1,1,1,2202,158495,2202,High Movement,1
EQ-15862,UN,CJ,PT,1,1,1,1,1326,81686,1326,High Movement,1
